USN,NAME,AGE,SALARY,EXPERIENCE,MOBILE,CITY,GENDER,MARRIED
1RV19MCA32,Bharathwaj,31,150000,6,9876500130,Chennai,Male,TRUE
1RV19MCA33,Bhaskar Chandavarkar,30,200000,8,9876500131,Mumbai,Male,TRUE
1RV19MCA34,Bhavatharini,29,250000,10,9876500132,Panaji,Male,TRUE
1RV19MCA35,Bhupen Hazarika,28,300000,12,9876500133,Gandhinagar,Male,TRUE
1RV19MCA36,Bijibal,27,350000,14,9876500134,Dehradun,Female,TRUE
1RV19MCA37,Baba Sehgal,26,400000,16,9876500135,Dispur,Male,TRUE
1RV19MCA38,K. Chakravarthy,NA,450000,18,9876500136,Gandhinagar,Male,TRUE
1RV19MCA39,Chakri,51,500000,20,9876500137,Gangtok,Male,TRUE
1RV19MCA40,Colonial Cousins,52,75000,3,9876500138,Dispur,Female,TRUE
1RV19MCA41,V. Dakshinamoorthy,53,150000,6,9876500139,Dispur,Female,TRUE
1RV19MCA42,Damodar Raao,54,225000,9,9876500140,Bengaluru,Male,FALSE
1RV19MCA43,Deva,55,300000,12,9876500141,Gandhinagar,Male,FALSE
1RV19MCA44,Devan Ekambaram,56,375000,15,9876500142,Gangtok,Male,FALSE
1RV19MCA45,Devi Sri Prasad,57,450000,18,9876500143,Shillong,Male,FALSE
1RV19MCA46,Deepak Dev,58,100000,4,9876500144,Shimla,Female,FALSE
1RV19MCA47,Dharan,59,200000,8,9876500145,Srinagar,Female,FALSE
1RV19MCA48,Dhina,60,400000,16,9876500146,Shimla,Male,FALSE
1RV19MCA49,G. Devarajan,22,125000,5,9876500147,Bengaluru,Male,FALSE
1RV19MCA50,Gangai Amaran,24,375000,15,9876500148,Srinagar,Male,FALSE
1RV19MCA51,Gopi Sunder,26,250000,10,9876500149,Shimla,Male,FALSE
1RV19MCA52,Ghantasala,28,250000,10,9876500150,Shimla,Male,FALSE
1RV19MCA53,Ghibran,30,250000,10,9876500151,Chennai,Male,FALSE
1RV19MCA54,Gurukiran,32,250000,10,9876500152,Bengaluru,Male,FALSE
1RV19MCA55,Hamsalekha,34,250000,10,9876500153,Bengaluru,Male,FALSE
1RV19MCA56,Harris Jayaraj,36,175000,7,9876500154,Hyderabad,Male,FALSE
1RV19MCA57,A. R. Rahman,38,350000,14,9876500155,Bengaluru,Male,FALSE
1RV19MCA58,V. Harikrishna,40,200000,8,9876500156,Chennai,Female,FALSE
1RV19MCA59,Ilayaraja,42,400000,16,9876500157,Bengaluru,Male,FALSE
1RV19MCA60,Ismail Darbar,44,225000,9,9876500158,Bengaluru,Male,FALSE
1RV19MCA61,Imman,46,450000,18,9876500159,Bengaluru,Male,FALSE
1RV19MCA62,Jagjit Singh,58,250000,10,9876500160,Mumbai,Male,FALSE
1RV19MCA63,James Vasanthan,56,500000,20,9876500161,Mumbai,Male,FALSE
1RV19MCA64,Jassie Gift,54,25000,1,9876500162,Mumbai,Male,TRUE
1RV19MCA65,Jatin–Lalit,52,25000,1,9876500163,Hyderabad,Male,TRUE
1RV19MCA66,Jeet Ganguly,50,25000,1,9876500164,Kohima,Male,FALSE
1RV19MCA67,Johnson,48,25000,1,9876500165,Kolkata,Male,TRUE
1RV19MCA68,Joshua Sridhar,46,50000,2,9876500166,LuckFALSEw,Male,TRUE
1RV19MCA69,M. Jayachandran,44,75000,3,9876500167,Mumbai,Male,FALSE
1RV19MCA70,Kishore Kumar,42,100000,4,9876500168,Hyderabad,Male,FALSE
1RV19MCA71,Kumar Sanu,40,125000,5,9876500169,LuckFALSEw,Male,FALSE
1RV19MCA72,Lalit Pandit,38,150000,6,9876500170,LuckFALSEw,Female,TRUE
1RV19MCA73,Laxmikant–Pyarelal,36,175000,7,9876500171,Panaji,Female,FALSE
1RV19MCA74,Lesle Lewis,34,200000,8,9876500172,Patna,Female,TRUE
1RV19MCA75,V. MaFALSEhar,32,225000,9,9876500173,Raipur,Female,FALSE
1RV19MCA76,MaFALSEj S,30,200000,8,9876500174,Ranchi,Female,TRUE
1RV19MCA77,K. V. Mahadevan,28,175000,7,9876500175,Thiruvananthapuram,Female,FALSE
1RV19MCA78,Lata Mangeshkar,26,150000,6,9876500176,Hyderabad,Female,TRUE
1RV19MCA79,Madan Mohan,24,125000,5,9876500177,Thiruvananthapuram,Female,FALSE
1RV19MCA80,Mani Sharma,31,100000,4,9876500178,Delhi,Female,TRUE
1RV19MCA81,Manikanth Kadri,32,75000,3,9876500179,Delhi,Female,TRUE
1RV19MCA82,Nadeem–Shravan,33,50000,2,9876500180,Delhi,Female,TRUE
1RV19MCA83,MaFALSE Murthy,34,25000,1,9876500181,Thiruvananthapuram,Female,FALSE
1RV19MCA84,MaFALSEj George,35,25000,1,9876500182,Thiruvananthapuram,Female,FALSE
1RV19MCA85,Mithoon Sharma,36,25000,1,9876500183,Thiruvananthapuram,Male,FALSE
1RV19MCA86,Monty Sharma,NA,25000,1,9876500184,Bengaluru,Male,FALSE
1RV19MCA87,Meet Bros,38,50000,2,9876500185,Bengaluru,Male,TRUE
1RV19MCA88,Mejo Joseph,39,50000,2,9876500186,Bengaluru,Male,TRUE
1RV19MCA89,Nilesh Moharir,40,50000,2,9876500187,Bengaluru,Male,FALSE
1RV19MCA90,Ouseppachan,41,100000,4,9876500188,Bengaluru,Female,TRUE
1RV19MCA91,S. Narayan,42,100000,4,9876500189,Chennai,Female,TRUE
1RV19MCA92,G. V. Prakash Kumar,43,100000,4,9876500190,Imphal,Female,FALSE
1RV19MCA93,Prashant Pillai,44,125000,5,9876500191,Itanagar,Female,TRUE
1RV19MCA94,Pravin Mani,45,125000,5,9876500192,Jaipur,Female,FALSE
1RV19MCA95,Pritam Chakraborty,46,150000,6,9876500193,Imphal,Female,TRUE
1RV19MCA96,Rahul Dev Burman,47,150000,6,9876500194,Itanagar,Male,FALSE
1RV19MCA97,Ramjeevan,48,75000,3,9876500195,Imphal,Male,TRUE
1RV19MCA98,R. P. Patnaik,49,75000,3,9876500196,Itanagar,Male,TRUE
1RV19MCA99,Raghu Dixit,50,225000,9,9876500197,Chennai,Female,TRUE
1RV19MCA100,Rahul Raj,55,75000,3,9876500198,Bengaluru,Male,FALSE
